"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06089,"Shasta, CA",1,Personal income (thousands of dollars),6117096,6225086,6339555,6419867,6826076,7237895,7447216,7748179,7976743,8321824,9329532,9918584,9872161,10326269,11187620
06089,"Shasta, CA",2,Population (persons) 1,177349,177972,178556,179383,180128,179896,180391,181490,182041,182308,182190,182243,180972,180656,181121
06089,"Shasta, CA",3,Per capita personal income (dollars) 2,34492,34978,35505,35789,37896,40234,41284,42692,43818,45647,51208,54425,54551,57160,61769
06091,"Sierra, CA",1,Personal income (thousands of dollars),103119,105608,109907,110659,115118,114905,118828,124641,127577,135185,146501,156405,164011,168028,176519
06091,"Sierra, CA",2,Population (persons) 1,3228,3138,3136,3128,3104,3148,3144,3227,3209,3237,3229,3298,3215,3180,3113
06091,"Sierra, CA",3,Per capita personal income (dollars) 2,31945,33655,35047,35377,37087,36501,37795,38624,39756,41762,45370,47424,51014,52839,56704
06093,"Siskiyou, CA",1,Personal income (thousands of dollars),1429911,1486467,1485396,1501555,1595843,1727276,1780504,1828306,1868074,1921753,2182398,2333395,2291157,2365641,2599367
06093,"Siskiyou, CA",2,Population (persons) 1,44958,44709,44248,43776,43652,43640,43837,44152,44198,44307,43999,44144,43746,42941,42498
06093,"Siskiyou, CA",3,Per capita personal income (dollars) 2,31805,33248,33570,34301,36558,39580,40616,41409,42266,43374,49601,52859,52374,55090,61164
06095,"Solano, CA",1,Personal income (thousands of dollars),15593551,16111580,16405087,17030120,17772699,19027697,20112104,20892491,21899263,23381119,26552853,26959778,27390102,28512267,30830297
06095,"Solano, CA",2,Population (persons) 1,414115,417085,421014,425611,431556,436571,442637,447964,450949,453060,452887,450819,449724,451060,455101
06095,"Solano, CA",3,Per capita personal income (dollars) 2,37655,38629,38966,40013,41183,43584,45437,46639,48563,51607,58630,59802,60904,63212,67744
06097,"Sonoma, CA",1,Personal income (thousands of dollars),20748776,21654619,22636604,23447713,24800332,26783825,27836308,28988972,30283557,32341692,35466237,38011659,38026852,40300655,43116855
06097,"Sonoma, CA",2,Population (persons) 1,484628,486997,489361,493259,497518,499611,501269,500840,495669,490579,488501,484561,483398,483366,485375
06097,"Sonoma, CA",3,Per capita personal income (dollars) 2,42814,44466,46257,47536,49848,53609,55532,57881,61096,65926,72602,78446,78666,83375,88832
06099,"Stanislaus, CA",1,Personal income (thousands of dollars),16439145,17014910,17601548,18017956,19434810,20836373,21499589,22172349,22792301,23976063,26953234,28983618,28489025,29276612,31603234
06099,"Stanislaus, CA",2,Population (persons) 1,515199,517825,520895,524121,528870,534258,540539,546295,549905,552059,553710,552939,552410,553921,556972
06099,"Stanislaus, CA",3,Per capita personal income (dollars) 2,31908,32858,33791,34377,36748,39001,39774,40587,41448,43430,48678,52417,51572,52853,56741
06101,"Sutter, CA",1,Personal income (thousands of dollars),3264715,3347810,3316694,3479029,3520557,3786330,3902972,3966809,4168235,4374413,4917284,5314843,5167456,5322023,5700248
06101,"Sutter, CA",2,Population (persons) 1,94818,94845,94835,95443,96010,96815,97664,98360,98849,99714,99479,99121,98682,98457,98545
06101,"Sutter, CA",3,Per capita personal income (dollars) 2,34431,35298,34973,36451,36669,39109,39963,40329,42168,43870,49430,53620,52365,54054,57844
06103,"Tehama, CA",1,Personal income (thousands of dollars),1826560,1901761,1985538,1997274,2144884,2261405,2309054,2454516,2512451,2648591,2922467,3148627,3063422,3234326,3441782
06103,"Tehama, CA",2,Population (persons) 1,63590,63478,63467,63244,63276,63742,64173,64645,64835,66230,65690,65467,65269,64959,64451
06103,"Tehama, CA",3,Per capita personal income (dollars) 2,28724,29959,31285,31580,33897,35477,35982,37969,38751,39991,44489,48095,46935,49790,53402
06105,"Trinity, CA",1,Personal income (thousands of dollars),385240,386509,384966,391001,418089,445463,450849,459881,482368,500010,535927,577947,572658,603562,659948
06105,"Trinity, CA",2,Population (persons) 1,13851,14167,14363,14681,14766,15120,15240,15526,15783,15908,16095,16102,15777,15684,15642
06105,"Trinity, CA",3,Per capita personal income (dollars) 2,27813,27282,26803,26633,28314,29462,29583,29620,30563,31431,33298,35893,36297,38483,42191
06107,"Tulare, CA",1,Personal income (thousands of dollars),13340455,14153502,14166005,14527758,15981107,16328948,17149047,17681249,17824523,18732496,21601769,23419634,22793015,23439844,25675091
06107,"Tulare, CA",2,Population (persons) 1,443074,447313,450715,453832,456915,459335,462017,465582,468272,470229,473944,476939,478288,480747,483546
06107,"Tulare, CA",3,Per capita personal income (dollars) 2,30109,31641,31430,32011,34976,35549,37118,37977,38064,39837,45579,49104,47655,48757,53098
06109,"Tuolumne, CA",1,Personal income (thousands of dollars),1908357,1968693,1991885,1960445,2070631,2213043,2301639,2358873,2411046,2530898,2747999,2920031,2890835,3078775,3320024
06109,"Tuolumne, CA",2,Population (persons) 1,55192,54948,54454,54339,54306,54188,54430,54767,55175,55327,55397,55126,53951,54123,53893
06109,"Tuolumne, CA",3,Per capita personal income (dollars) 2,34577,35828,36579,36078,38129,40840,42286,43071,43698,45744,49606,52970,53583,56885,61604
06111,"Ventura, CA",1,Personal income (thousands of dollars),37914623,39733578,41338513,41728534,43769630,45901737,47265014,48791042,50711842,53196126,57156763,62577492,62171450,64929868,68971501
06111,"Ventura, CA",2,Population (persons) 1,825173,830053,833548,838106,842606,846209,847646,849106,848179,845277,843808,840009,835032,833071,835427
06111,"Ventura, CA",3,Per capita personal income (dollars) 2,45947,47869,49593,49789,51946,54244,55760,57462,59789,62933,67737,74496,74454,77940,82558
06113,"Yolo, CA",1,Personal income (thousands of dollars),8033272,8633908,8872149,9148342,9678514,10307702,10654951,10961869,11304743,11982281,13019078,14128918,14242589,14949143,16002676
06113,"Yolo, CA",2,Population (persons) 1,200971,201480,203745,205093,206833,210102,213311,215851,217102,216678,217768,213545,223338,222919,225251
06113,"Yolo, CA",3,Per capita personal income (dollars) 2,39972,42852,43545,44606,46794,49060,49950,50784,52071,55300,59784,66164,63771,67061,71044
