fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,countyname
605599999,1438,1645,2164,2924,2935,6,Napa County
605799999,921,993,1307,1857,2037,6,Nevada County
605999999,1716,1905,2324,3178,3674,6,Orange County
606199999,1108,1228,1543,2192,2625,6,Placer County
606399999,608,716,915,1300,1566,6,Plumas County
606599999,1062,1202,1509,2065,2542,6,Riverside County
606799999,1108,1228,1543,2192,2625,6,Sacramento County
606999999,1096,1253,1649,2342,2822,6,San Benito County
607199999,1062,1202,1509,2065,2542,6,San Bernardino County
607399999,1573,1739,2232,3099,3795,6,San Diego County
607599999,2115,2631,3198,4111,4473,6,San Francisco County
607799999,891,992,1305,1854,2234,6,San Joaquin County
607999999,1308,1436,1890,2685,3047,6,San Luis Obispo County
608199999,2115,2631,3198,4111,4473,6,San Mateo County
608399999,1875,2157,2516,3316,3790,6,Santa Barbara County
608599999,2145,2418,2868,3687,4213,6,Santa Clara County
608799999,2085,2385,3138,4000,4458,6,Santa Cruz County
608999999,834,954,1255,1783,2148,6,Shasta County
609199999,754,855,1114,1593,1767,6,Sierra County
609399999,682,701,922,1310,1358,6,Siskiyou County
609599999,1232,1408,1677,2382,2870,6,Solano County
609799999,1373,1549,2038,2851,3163,6,Sonoma County
609999999,936,1001,1250,1761,2063,6,Stanislaus County
610199999,920,926,1173,1666,2008,6,Sutter County
610399999,682,722,950,1270,1495,6,Tehama County
610599999,592,670,877,1246,1394,6,Trinity County
610799999,746,764,1005,1405,1629,6,Tulare County
610999999,752,860,1132,1556,1938,6,Tuolumne County
611199999,1507,1792,2218,3101,3655,6,Ventura County
611399999,1212,1280,1684,2353,2843,6,Yolo County
611599999,920,926,1173,1666,2008,6,Yuba County
600199999,1658,1969,2405,3144,3706,6,Alameda County
600399999,776,867,1140,1620,1841,6,Alpine County
600599999,992,998,1199,1704,2042,6,Amador County
600799999,893,941,1239,1761,2110,6,Butte County
600999999,919,925,1161,1650,1889,6,Calaveras County
601199999,741,746,982,1341,1356,6,Colusa County
601399999,1658,1969,2405,3144,3706,6,Contra Costa County
601599999,693,875,1037,1421,1766,6,Del Norte County
601799999,1277,1400,1756,2496,2907,6,El Dorado County
601999999,991,997,1258,1772,2029,6,Fresno County
602199999,668,759,999,1272,1511,6,Glenn County
