County Code,County,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06053,"Monterey, CA",1.0,Personal income (dollars),17079631000.0,17462059000.0,18256300000.0,19005460000.0,19989436000.0,21593394000.0,22267892000.0,22772964000.0,23001148000.0,24504951000.0,26807865000.0,28527642000.0,28634611000.0,30339685000.0,32358723000.0
06053,"Monterey, CA",2.0,Population (persons),416536.0,421275.0,425838.0,428497.0,431037.0,433948.0,437926.0,439011.0,439285.0,440023.0,440506.0,439245.0,436427.0,435637.0,436251.0
06053,"Monterey, CA",3.0,Per capita personal income (dollars),41004.0,41450.0,42871.0,44354.0,46375.0,49760.0,50849.0,51873.0,52360.0,55690.0,60857.0,64947.0,65611.0,69644.0,74175.0
06055,"Napa, CA",1.0,Personal income (dollars),6390918000.0,6644810000.0,7334742000.0,7603966000.0,8212768000.0,8890655000.0,9415486000.0,9595776000.0,9657020000.0,10194797000.0,11412522000.0,11911814000.0,11999926000.0,12830374000.0,13673170000.0
06055,"Napa, CA",2.0,Population (persons),136790.0,137859.0,138847.0,140017.0,140979.0,141566.0,141730.0,140922.0,139877.0,139087.0,137465.0,136219.0,134492.0,133444.0,132727.0
06055,"Napa, CA",3.0,Per capita personal income (dollars),46721.0,48200.0,52826.0,54307.0,58255.0,62802.0,66433.0,68093.0,69039.0,73298.0,83021.0,87446.0,89224.0,96148.0,103017.0
06057,"Nevada, CA",1.0,Personal income (dollars),4512796000.0,4674817000.0,4806974000.0,4858103000.0,5119284000.0,5313879000.0,5565078000.0,5669101000.0,5821249000.0,6165852000.0,6654991000.0,7309781000.0,7333900000.0,7781463000.0,8210982000.0
06057,"Nevada, CA",2.0,Population (persons),98858.0,99036.0,98741.0,98801.0,99692.0,100060.0,100539.0,101277.0,101583.0,102016.0,102267.0,103499.0,102356.0,102086.0,102195.0
06057,"Nevada, CA",3.0,Per capita personal income (dollars),45649.0,47203.0,48683.0,49171.0,51351.0,53107.0,55352.0,55976.0,57305.0,60440.0,65075.0,70627.0,71651.0,76225.0,80346.0
06059,"Orange, CA",1.0,Personal income (dollars),146752367000.0,156467073000.0,167428549000.0,166542339000.0,173769675000.0,187042532000.0,194223700000.0,202337241000.0,210648610000.0,221785219000.0,239226060000.0,258628044000.0,267134967000.0,282269399000.0,298128817000.0
06059,"Orange, CA",2.0,Population (persons),3016780.0,3052224.0,3082360.0,3110533.0,3133414.0,3157464.0,3174414.0,3185916.0,3188957.0,3185850.0,3186261.0,3159351.0,3158489.0,3154563.0,3170435.0
06059,"Orange, CA",3.0,Per capita personal income (dollars),48645.0,51263.0,54318.0,53541.0,55457.0,59238.0,61184.0,63510.0,66056.0,69616.0,75080.0,81861.0,84577.0,89480.0,94034.0
06061,"Placer, CA",1.0,Personal income (dollars),16691044000.0,17691189000.0,18866670000.0,19386534000.0,20439566000.0,21893973000.0,23059644000.0,24314724000.0,25586686000.0,27150590000.0,29725079000.0,32886037000.0,33705721000.0,35628496000.0,38068254000.0
06061,"Placer, CA",2.0,Population (persons),350070.0,356636.0,360834.0,366232.0,370308.0,374188.0,380615.0,387169.0,394807.0,401241.0,405951.0,412968.0,418439.0,424599.0,433822.0
06061,"Placer, CA",3.0,Per capita personal income (dollars),47679.0,49606.0,52286.0,52935.0,55196.0,58511.0,60585.0,62801.0,64808.0,67667.0,73223.0,79633.0,80551.0,83911.0,87751.0
06063,"Plumas, CA",1.0,Personal income (dollars),785609000.0,784030000.0,764527000.0,772589000.0,813656000.0,830092000.0,855026000.0,884140000.0,926506000.0,975771000.0,1076893000.0,1173329000.0,1173684000.0,1248118000.0,1347930000.0
06063,"Plumas, CA",2.0,Population (persons),19935.0,19820.0,19560.0,19161.0,18972.0,18856.0,19191.0,19260.0,19491.0,19793.0,19761.0,19965.0,19433.0,19120.0,18834.0
06063,"Plumas, CA",3.0,Per capita personal income (dollars),39409.0,39558.0,39086.0,40321.0,42887.0,44023.0,44553.0,45906.0,47535.0,49299.0,54496.0,58769.0,60396.0,65278.0,71569.0
06065,"Riverside, CA",1.0,Personal income (dollars),68136070000.0,72179702000.0,73771301000.0,76069949000.0,79630223000.0,84597340000.0,88997439000.0,92451456000.0,96994918000.0,103647288000.0,115415017000.0,126651219000.0,127575613000.0,133563233000.0,142697421000.0
06065,"Riverside, CA",2.0,Population (persons),2199892.0,2225473.0,2245681.0,2264308.0,2286762.0,2309475.0,2336394.0,2364473.0,2387939.0,2403591.0,2424663.0,2455225.0,2479628.0,2503549.0,2529933.0
06065,"Riverside, CA",3.0,Per capita personal income (dollars),30972.0,32433.0,32850.0,33595.0,34822.0,36631.0,38092.0,39100.0,40619.0,43122.0,47600.0,51584.0,51449.0,53350.0,56404.0
06067,"Sacramento, CA",1.0,Personal income (dollars),54432590000.0,56971040000.0,58911556000.0,60921536000.0,64560357000.0,69100516000.0,71627441000.0,74690008000.0,78526608000.0,82829648000.0,91355811000.0,98181711000.0,99000141000.0,104260801000.0,112291560000.0
06067,"Sacramento, CA",2.0,Population (persons),1422042.0,1437021.0,1450783.0,1465896.0,1486089.0,1507458.0,1527967.0,1547198.0,1561413.0,1576171.0,1586727.0,1588824.0,1588743.0,1594506.0,1611231.0
06067,"Sacramento, CA",3.0,Per capita personal income (dollars),38278.0,39645.0,40607.0,41559.0,43443.0,45839.0,46878.0,48274.0,50292.0,52551.0,57575.0,61795.0,62314.0,65388.0,69693.0
